ec5_branch_owner_uuid,ec5_branch_uuid,created_at,uploaded_at,title,data_rinnovo,validita_rinnovo,nuovi_espatri,note_esp_rinnovi
61a567e0-e668-11ec-9d05-a3723e08b856,75578520-e668-11ec-9d05-a3723e08b856,2022-06-07T13:48:06.130Z,2022-06-07T13:48:18.000Z,75578520-e668-11ec-9d05-a3723e08b856,1896,3,"Austria, Germania",
a03831a0-e667-11ec-b394-217385bcde28,bf4c9590-e667-11ec-b394-217385bcde28,2022-06-07T13:43:00.713Z,2022-06-07T13:43:16.000Z,bf4c9590-e667-11ec-b394-217385bcde28,1897,1,"Austria, Germania",
a03831a0-e667-11ec-b394-217385bcde28,b81ab220-e667-11ec-b394-217385bcde28,2022-06-07T13:42:48.642Z,2022-06-07T13:43:16.000Z,b81ab220-e667-11ec-b394-217385bcde28,1894,"5 mesi","Austria, Ungheria",
a03831a0-e667-11ec-b394-217385bcde28,b16d19e0-e667-11ec-b394-217385bcde28,2022-06-07T13:42:37.438Z,2022-06-07T13:43:17.000Z,b16d19e0-e667-11ec-b394-217385bcde28,1892,2,Europa,
79708540-e667-11ec-b394-217385bcde28,93997350-e667-11ec-b394-217385bcde28,2022-06-07T13:41:47.397Z,2022-06-07T13:41:58.000Z,93997350-e667-11ec-b394-217385bcde28,1892,1,"Austria, Germania",
4a46b2d0-e667-11ec-b394-217385bcde28,5d37ca00-e667-11ec-b394-217385bcde28,2022-06-07T13:40:16.160Z,2022-06-07T13:40:28.000Z,5d37ca00-e667-11ec-b394-217385bcde28,1898,3,Europa,
4a46b2d0-e667-11ec-b394-217385bcde28,588b31e0-e667-11ec-b394-217385bcde28,2022-06-07T13:40:08.318Z,2022-06-07T13:40:28.000Z,588b31e0-e667-11ec-b394-217385bcde28,1894,3,Europa,
339bc7f0-e667-11ec-b394-217385bcde28,42e11530-e667-11ec-b394-217385bcde28,2022-06-07T13:39:31.971Z,2022-06-07T13:39:42.000Z,42e11530-e667-11ec-b394-217385bcde28,1892,1,"Austria, Germania",
f031f020-e666-11ec-b394-217385bcde28,00e684d0-e667-11ec-b394-217385bcde28,2022-06-07T13:37:41.277Z,2022-06-07T13:37:56.000Z,00e684d0-e667-11ec-b394-217385bcde28,1894,3,Europa,
d60fdfe0-e666-11ec-b394-217385bcde28,e790c540-e666-11ec-b394-217385bcde28,2022-06-07T13:36:58.772Z,2022-06-07T13:37:11.000Z,e790c540-e666-11ec-b394-217385bcde28,1894,"14 giorni",Italia,
93424810-e666-11ec-b394-217385bcde28,a4ee0e00-e666-11ec-b394-217385bcde28,2022-06-07T13:35:06.976Z,2022-06-07T13:35:18.000Z,a4ee0e00-e666-11ec-b394-217385bcde28,1895,3,Europa,
e1bc60e0-e664-11ec-b394-217385bcde28,f53063b0-e664-11ec-b394-217385bcde28,2022-06-07T13:23:02.635Z,2022-06-07T13:23:12.000Z,f53063b0-e664-11ec-b394-217385bcde28,1895,3,Europa,
c6cc0420-e664-11ec-b394-217385bcde28,d9820e20-e664-11ec-b394-217385bcde28,2022-06-07T13:22:16.194Z,2022-06-07T13:22:28.000Z,d9820e20-e664-11ec-b394-217385bcde28,1894,3,"Austria, Germania, Svizzera",
6aedf320-e664-11ec-b394-217385bcde28,7a0c3060-e664-11ec-b394-217385bcde28,2022-06-07T13:19:36.038Z,2022-06-07T13:19:48.000Z,7a0c3060-e664-11ec-b394-217385bcde28,1893,3,"Austria, Ungheria",
fe9967e0-e663-11ec-b394-217385bcde28,13a10300-e664-11ec-b394-217385bcde28,2022-06-07T13:16:44.208Z,2022-06-07T13:16:57.000Z,13a10300-e664-11ec-b394-217385bcde28,1898,1,Europa,
fe9967e0-e663-11ec-b394-217385bcde28,0e9b2750-e664-11ec-b394-217385bcde28,2022-06-07T13:16:35.781Z,2022-06-07T13:16:58.000Z,0e9b2750-e664-11ec-b394-217385bcde28,1893,1,"Austria, Germania",
ba045680-e663-11ec-b394-217385bcde28,e0e83d70-e663-11ec-b394-217385bcde28,2022-06-07T13:15:19.111Z,2022-06-07T13:15:29.000Z,e0e83d70-e663-11ec-b394-217385bcde28,1900,3,Europa,
ba045680-e663-11ec-b394-217385bcde28,dbd653d0-e663-11ec-b394-217385bcde28,2022-06-07T13:15:10.606Z,2022-06-07T13:15:30.000Z,dbd653d0-e663-11ec-b394-217385bcde28,1899,1,Austria-Ungheria,
ba045680-e663-11ec-b394-217385bcde28,d6b527f0-e663-11ec-b394-217385bcde28,2022-06-07T13:15:01.999Z,2022-06-07T13:15:30.000Z,d6b527f0-e663-11ec-b394-217385bcde28,1898,1,"Austria, Italia",
ba045680-e663-11ec-b394-217385bcde28,d133dab0-e663-11ec-b394-217385bcde28,2022-06-07T13:14:52.763Z,2022-06-07T13:15:31.000Z,d133dab0-e663-11ec-b394-217385bcde28,1897,1,"Austria, Italia",
ba045680-e663-11ec-b394-217385bcde28,cbe81c60-e663-11ec-b394-217385bcde28,2022-06-07T13:14:43.878Z,2022-06-07T13:15:31.000Z,cbe81c60-e663-11ec-b394-217385bcde28,1895,1,Europa,
84806300-e663-11ec-988c-35d5a5a5cac6,ab8825a0-e663-11ec-ac99-e99b4e5262df,2022-06-07T13:13:49.562Z,2022-06-07T13:14:07.000Z,ab8825a0-e663-11ec-ac99-e99b4e5262df,1893,giornaliero,"Austria, Ungheria",
494da9a0-e663-11ec-988c-35d5a5a5cac6,63bd3da0-e663-11ec-988c-35d5a5a5cac6,2022-06-07T13:11:49.114Z,2022-06-07T13:12:03.000Z,63bd3da0-e663-11ec-988c-35d5a5a5cac6,1894,3,"Austria, Germania, Svizzera",
1e9b7ca0-e663-11ec-988c-35d5a5a5cac6,2ee7d9a0-e663-11ec-988c-35d5a5a5cac6,2022-06-07T13:10:20.474Z,2022-06-07T13:10:31.000Z,2ee7d9a0-e663-11ec-988c-35d5a5a5cac6,1897,3,Europa,
0b6dce70-e65f-11ec-a2fc-f955dff64c97,30fd21e0-e65f-11ec-a2fc-f955dff64c97,2022-06-07T12:41:45.982Z,2022-06-07T12:41:56.000Z,30fd21e0-e65f-11ec-a2fc-f955dff64c97,1901,3,Austria-Ungheria,
0b6dce70-e65f-11ec-a2fc-f955dff64c97,29b852b0-e65f-11ec-a2fc-f955dff64c97,2022-06-07T12:41:33.787Z,2022-06-07T12:41:57.000Z,29b852b0-e65f-11ec-a2fc-f955dff64c97,1895,3,Austria-Ungheria,
cd330530-e65e-11ec-a2fc-f955dff64c97,e997b270-e65e-11ec-a2fc-f955dff64c97,2022-06-07T12:39:46.199Z,2022-06-07T12:39:58.000Z,e997b270-e65e-11ec-a2fc-f955dff64c97,1900,1,Austria-Ungheria,
cd330530-e65e-11ec-a2fc-f955dff64c97,e4cfa310-e65e-11ec-a2fc-f955dff64c97,2022-06-07T12:39:38.177Z,2022-06-07T12:39:58.000Z,e4cfa310-e65e-11ec-a2fc-f955dff64c97,1895,1,Austria-Ungheria,
cd330530-e65e-11ec-a2fc-f955dff64c97,de0ed0f0-e65e-11ec-a2fc-f955dff64c97,2022-06-07T12:39:26.847Z,2022-06-07T12:39:59.000Z,de0ed0f0-e65e-11ec-a2fc-f955dff64c97,1894,3,"Austria, Ungheria, Germania",
51a69a30-e65e-11ec-a2fc-f955dff64c97,8c53f6f0-e65e-11ec-a2fc-f955dff64c97,2022-06-07T12:37:09.727Z,2022-06-07T12:37:24.000Z,8c53f6f0-e65e-11ec-a2fc-f955dff64c97,1901,"5 mesi",Austria-Ungheria,
bbd554b0-e65d-11ec-a2fc-f955dff64c97,d2586c40-e65d-11ec-a2fc-f955dff64c97,2022-06-07T12:31:57.700Z,2022-06-07T12:32:07.000Z,d2586c40-e65d-11ec-a2fc-f955dff64c97,1895,3,Europa,
606605b0-e64a-11ec-a2fc-f955dff64c97,73242600-e64a-11ec-a2fc-f955dff64c97,2022-06-07T10:13:17.536Z,2022-06-07T10:13:29.000Z,73242600-e64a-11ec-a2fc-f955dff64c97,1900,1,Austria-Ungheria,
060db1b0-e647-11ec-a2fc-f955dff64c97,57ca0af0-e64a-11ec-a2fc-f955dff64c97,2022-06-07T10:12:31.647Z,2022-06-07T10:12:43.000Z,57ca0af0-e64a-11ec-a2fc-f955dff64c97,1897,1,Svizzera,
060db1b0-e647-11ec-a2fc-f955dff64c97,517b3480-e64a-11ec-a2fc-f955dff64c97,2022-06-07T10:12:21.065Z,2022-06-07T10:12:44.000Z,517b3480-e64a-11ec-a2fc-f955dff64c97,1896,1,"Austria, Svizzera",
e30b23a0-e646-11ec-a2fc-f955dff64c97,fcbbfb80-e646-11ec-a2fc-f955dff64c97,2022-06-07T09:48:30.392Z,2022-06-07T09:48:42.000Z,fcbbfb80-e646-11ec-a2fc-f955dff64c97,1895,3,Europa,
b76065d0-e646-11ec-a2fc-f955dff64c97,c67fb480-e646-11ec-a2fc-f955dff64c97,2022-06-07T09:46:59.400Z,2022-06-07T09:47:11.000Z,c67fb480-e646-11ec-a2fc-f955dff64c97,1894,3,"Austria, Ungheria, Germania",
67996c90-e646-11ec-a2fc-f955dff64c97,76e8f300-e646-11ec-a2fc-f955dff64c97,2022-06-07T09:44:45.872Z,2022-06-07T09:44:57.000Z,76e8f300-e646-11ec-a2fc-f955dff64c97,1893,1,Austria-Ungheria,
4fa90960-e646-11ec-a2fc-f955dff64c97,60c7f8a0-e646-11ec-a2fc-f955dff64c97,2022-06-07T09:44:08.746Z,2022-06-07T09:44:18.000Z,60c7f8a0-e646-11ec-a2fc-f955dff64c97,1898,3,Europa,
cf9bf840-e645-11ec-a2fc-f955dff64c97,e3104930-e645-11ec-a2fc-f955dff64c97,2022-06-07T09:40:37.827Z,2022-06-07T09:40:50.000Z,e3104930-e645-11ec-a2fc-f955dff64c97,1896,"4 mesi",Austria-Ungheria,
9d328b30-e645-11ec-a2fc-f955dff64c97,c49d2e50-e645-11ec-a2fc-f955dff64c97,2022-06-07T09:39:46.741Z,2022-06-07T09:39:59.000Z,c49d2e50-e645-11ec-a2fc-f955dff64c97,1901,1,Austria-Ungheria,
9d328b30-e645-11ec-a2fc-f955dff64c97,bf8b6bc0-e645-11ec-a2fc-f955dff64c97,2022-06-07T09:39:38.236Z,2022-06-07T09:39:59.000Z,bf8b6bc0-e645-11ec-a2fc-f955dff64c97,1899,1,"Austria, Germania",
9d328b30-e645-11ec-a2fc-f955dff64c97,b5ac69b0-e645-11ec-a2fc-f955dff64c97,2022-06-07T09:39:21.675Z,2022-06-07T09:40:00.000Z,b5ac69b0-e645-11ec-a2fc-f955dff64c97,1897,"5 mesi",Austria-Ungheria,
9d328b30-e645-11ec-a2fc-f955dff64c97,afdc1210-e645-11ec-a2fc-f955dff64c97,2022-06-07T09:39:11.921Z,2022-06-07T09:40:01.000Z,afdc1210-e645-11ec-a2fc-f955dff64c97,1896,1,Austria-Ungheria,
