luogo,nome corretto,raggruppamento
S.MAssenza,Santa Massenza,Valle dei Laghi
S.Michele,San Michele,Piana Rotaliana
S.Orsola,Sant'Orsola,Valle dei Mocheni
S.t. Michele,San Michele,Piana Rotaliana
Sacco,Borgo Sacco,Vallagarina
Sagron,Sagron,Primiero
Salisburgo,Salisburgo,Salisburghese
Samoclevo,Samoclevo,Val di Sole
San Felice di Fierozzo,San Felice di Fierozzo,Val dei Mocheni
San Michele,San Michele,Piana Rotaliana
Sant'Orsola,Sant'Orsola,Val dei Mocheni
Santa Massenza,Santa Massenza,Valle dei Laghi
Santa Massenza Fiaveggio,Fraveggio,Valle dei Laghi
Sanzeno,Sanzeno,Val di Non
Sardagna,Sardagna,Valle dell'Adige
Sarmonico,Sarmonico,Val di Non
Savignano,Savignano,Vallagarina
Segano,Segno,Val di Non
Segno,Segno,Val di Non
Segonzano,Segonzano,Val di Cembra
Segonzno,Segonzano,Val di Cembra
Seio,Seio,Val di Non
Selva,Selva di Levico,Alta Valsugana
Seregnano,Seregnano,Alta Valsugana
Sernigo-Pinè,Sternigo,Alta Valsugana
Serravalle,Serravalle,Vallagarina
Serso,Serso,Alta Valsugana
Sevegnano,Sevignano,Val di Cembra
Sevignano,Sevignano,Val di Cembra
Sfomaggiore,Spormaggiore,Val di Non
Sfruz,Sfruz,Val di Non
Sior,Siror,Primiero
Siror,Siror,Primiero
Sopramonte,Sopramonte,Valle dell'Adige
Sorni,Sorni,Piana Rotaliana
Sostasavina,Costasavina,Alta Valsugana
Sover,Sover,Val di Cembra
Soverchierie,,
Spomaggiore,Spormaggiore,Val di Non
Sporaggiore,Spormaggiore,Val di Non
Spormaggiore,Spormaggiore,Val di Non
Sporminore,Sporminore,Val di Non
St. giacomo/Malé,San Giacomo,Val di Sole
ST. Mauro,Tressilla,Alta Valsugana
St. Michele,San Michele,Piana Rotaliana
St. Orsola,Sant'Orsola,Val dei Mocheni
Steinfeld,Steinfeld,Germania
Stenico,Stenico,Valli Giudicarie
Sternigo,Sternigo,Alta Valsugana
Stiria (austria),Stiria,Austria
Storo,Storo,Valle del Chiese
Stravino,Stravino,Valle dei Laghi
Stravino (Cavedine),Stravino,Valle dei Laghi
"Stravino, Cavedine",Stravino,Valle dei Laghi
Stravino/Cavedine,Stravino,Valle dei Laghi
Strigno,Strigno,Bassa Valsugana
Susà,Susà,Alta Valsugana
Taio,Taio,Val di Non
Tajo,Taio,Val di Non
Tassullo,Tassullo,Val di Non
Tavon,Tavon,Val di Non
Tedesco,Mezzocorona,Piana Rotaliana
Telve,Telve,Bassa Valsugana
Telve di sopra,Telve di sopra,Bassa Valsugana
Tenna,Tenna,Alta Valsugana
Tenno,Tenno,Alto Garda
Tento,Trento,Valle dell'Adige
Teralgo,Terlago,Valle dei Laghi
Terlago,Terlago,Valle dei Laghi
Terlago ,Terlago ,Valle dei Laghi
Termano,Termeno,Alto Adige
Termenago,Termenago,Val di Sole
Termon,Termon,Val di Non
Tervò,Vervò,Val di Non
Tervò ,Vervò,Val di Non
Terzolas,Terzolas,Val di Sole
Tesino,Tesino,Bassa Valsugana
Tion,Tione di Trento,Valli Giudicarie
Tione,Tione di Trento,Valli Giudicarie
Tn,Trento,Valle dell'Adige
Tonadicio,Tonadico,Primiero
Tonadico,Tonadico,Primiero
Torchio,Torchio,Alta Valsugana
Torgole (Riva),Torbole,Alto Garda
Torra,Torra,Val di Non
Toss,Toss,Val di Non
Transacqua,Transacqua,Primiero
Tremila,Tressilla,Alta Valsugana
Trenti,Trento,Valle dell'Adige
Trento,Trento,Valle dell'Adige
Tres,Tres,Val di Non
Tresilla,Tressilla,Alta Valsugana
Tresilla (Baselga),Tressilla,Alta Valsugana
Tresilla/Baselga di Pinè,Tressilla,Alta Valsugana
Tressilla,Tressilla,Alta Valsugana
Tressilla di Pinè,Tressilla,Alta Valsugana
Trieste,Trieste,Italia
Tscherius,,
Tuenetto,Tuenetto,Val di Non
Tulnes,,
Vadena,Vadena,Alto Adige
Val di Non,Val di Non,Val di Non
Val di Sole,Val di Sole,Val di Sole
Valda,Valda,Val di Cembra
Valde,Valda,Val di Cembra
Valsorda,Valsorda,Valle dell'Adige
Valsorda Mattarello,Valsorda,Valle dell'Adige
Valter di Giovo,Verla di Giovo,Val di Cembra
Varago,Varago,Italia
Venezia,Venezia,Italia
Venzone,Venzone,Italia
Verbò,Vervò,Val di Non
Verla,Verla di Giovo,Val di Cembra
Verla / Giovo,Verla di Giovo,Val di Cembra
Verla di Giovo,Verla di Giovo,Val di Cembra
Verlago,Viarago,Alta Valsugana
Vermiglio,Vermiglio,Val di Sole
Vero,Vero,
Verona,Verona,Italia
Versa,Versa,Italia
Vervo,Vervò,Val di Non
Vervò,Vervò,Val di Non
